,precision,recall,f1-score,support
<<<<<<< HEAD
AppleiCloud,0.9625,0.9919484702093397,0.9770023790642347,621.0
AppleiTunes,0.8771929824561403,0.7142857142857143,0.7874015748031495,140.0
Dropbox,0.9686147186147186,0.9701897018970189,0.9694015705388572,1845.0
FTP_DATA,0.96875,0.96875,0.96875,32.0
Facebook,0.9675398633257403,0.8495,0.9046858359957402,2000.0
GMail,0.9362530413625304,0.962,0.9489519112207152,2000.0
Github,0.9760696156635243,0.9955621301775148,0.985719516660564,1352.0
GoogleDrive,0.9236489836390679,0.9315,0.9275578790141897,2000.0
GoogleHangoutDuo,0.9989806320081549,1.0,0.9994900560938297,1960.0
GoogleServices,0.90625,0.8728593668915413,0.8892413428495903,1927.0
Instagram,0.9386679444178246,0.9795,0.9586493760704673,2000.0
MS_OneDrive,0.9923413566739606,0.9805405405405405,0.9864056552474172,925.0
NetFlix,0.9519650655021834,0.7077922077922078,0.8119180633147114,308.0
Skype,0.901296111665005,0.9168356997971603,0.9089994972347915,1972.0
Snapchat,1.0,0.625,0.7692307692307693,40.0
SoundCloud,0.7,0.19444444444444445,0.30434782608695654,36.0
Spotify,0.9858429858429858,1.0,0.9928710304601426,766.0
Steam,1.0,0.9153846153846154,0.9558232931726908,130.0
TeamViewer,0.9910313901345291,0.9910313901345291,0.9910313901345291,223.0
Telegram,0.9563758389261745,1.0,0.9777015437392796,285.0
Twitter,0.9685438863521055,0.9739795918367347,0.9712541338081914,1960.0
WhatsApp,0.8927536231884058,0.9736564805057956,0.9314516129032259,1898.0
Wikipedia,0.9889705882352942,0.9889705882352942,0.9889705882352942,272.0
YouTube,0.8779626828038326,0.9039460020768432,0.8907649015093374,1926.0
eBay,0.9493670886075949,0.7211538461538461,0.819672131147541,104.0
accuracy,0.9418456702342639,0.9418456702342639,0.9418456702342639,0.9418456702342639
macro avg,0.9432367359767909,0.8851532316145255,0.9046917551414486,26722.0
weighted avg,0.9422463780742334,0.9418456702342639,0.9409503129567165,26722.0
=======
AppleiCloud,0.9505409582689336,0.9903381642512077,0.9700315457413249,621.0
AppleiTunes,0.9263157894736842,0.6285714285714286,0.7489361702127659,140.0
Dropbox,0.964516129032258,0.9723577235772358,0.9684210526315788,1845.0
FTP_DATA,1.0,0.96875,0.9841269841269841,32.0
Facebook,0.9515514425694066,0.874,0.911128485796195,2000.0
GMail,0.8933574333483958,0.9885,0.9385236173747923,2000.0
Github,0.97953216374269,0.9911242603550295,0.9852941176470588,1352.0
GoogleDrive,0.9454732510288066,0.919,0.9320486815415822,2000.0
GoogleHangoutDuo,0.9989801121876594,0.9994897959183674,0.9992348890589136,1960.0
GoogleServices,0.888421052631579,0.8759730150492995,0.8821531225503007,1927.0
Instagram,0.9511605415860735,0.9835,0.9670599803343167,2000.0
MS_OneDrive,0.9860664523043944,0.9945945945945946,0.9903121636167922,925.0
NetFlix,0.9720930232558139,0.6785714285714286,0.7992351816443594,308.0
Skype,0.9029514757378689,0.915314401622718,0.9090909090909091,1972.0
Snapchat,0.9523809523809523,0.5,0.6557377049180327,40.0
SoundCloud,0.5833333333333334,0.19444444444444445,0.2916666666666667,36.0
Spotify,0.9833119383825417,1.0,0.9915857605177993,766.0
Steam,0.975609756097561,0.9230769230769231,0.9486166007905139,130.0
TeamViewer,0.9769585253456221,0.9506726457399103,0.9636363636363637,223.0
Telegram,0.9437086092715232,1.0,0.9710391822827938,285.0
Twitter,0.9770525242223356,0.9775510204081632,0.9773017087477683,1960.0
WhatsApp,0.9142280524722503,0.9546891464699684,0.934020618556701,1898.0
Wikipedia,0.992619926199262,0.9889705882352942,0.990791896869245,272.0
YouTube,0.89937106918239,0.8909657320872274,0.8951486697965573,1926.0
eBay,0.8933333333333333,0.6442307692307693,0.7486033519553071,104.0
accuracy,0.9418830925828905,0.9418830925828905,0.9418830925828905,0.9418830925828905
macro avg,0.9361147138155468,0.8721874432881604,0.8941498170442249,26722.0
weighted avg,0.942007183482497,0.9418830925828905,0.940774606947761,26722.0
>>>>>>> ca5288db1a53e9b996ccddc312fa365f48a26477
